model,label,tp,pp,layer_split,ffn_splits,head_splits,kv_splits,workload,in_len,out_len,n_req,tps,ttft_ms,itl_ms,regime,n_layers,hidden,ffn_dim,n_q,n_kv,head_dim,params_b,vocab,source_dir
70b,TP4PP2_layer_skew+16_56-24,4,2,56-24,7168:7168:7168:7168,16:16:16:16,2:2:2:2,balanced,512,256,128,1401.837307,4085.634174,75.035185,stock,80,8192,28672,64,8,128,70,128256,hetero_4x4_70b_full_20260609_122900
70b,TP4PP2_layer_skew+16_56-24,4,2,56-24,7168:7168:7168:7168,16:16:16:16,2:2:2:2,decode_heavy,128,512,128,1615.243479,1370.390083,76.302564,stock,80,8192,28672,64,8,128,70,128256,hetero_4x4_70b_full_20260609_122900
70b,TP4PP2_layer_skew+16_56-24,4,2,56-24,7168:7168:7168:7168,16:16:16:16,2:2:2:2,prefill_heavy,1024,128,128,1303.117797,2702.930291,76.871869,stock,80,8192,28672,64,8,128,70,128256,hetero_4x4_70b_full_20260609_122900
70b,TP4PP2_layer_skew+4_44-36,4,2,44-36,7168:7168:7168:7168,16:16:16:16,2:2:2:2,balanced,512,256,128,1427.283642,2768.38922,78.34248,stock,80,8192,28672,64,8,128,70,128256,hetero_4x4_70b_full_20260609_122900
70b,TP4PP2_layer_skew+4_44-36,4,2,44-36,7168:7168:7168:7168,16:16:16:16,2:2:2:2,decode_heavy,128,512,128,1513.186335,2587.065209,79.24299,stock,80,8192,28672,64,8,128,70,128256,hetero_4x4_70b_full_20260609_122900
70b,TP4PP2_layer_skew+4_44-36,4,2,44-36,7168:7168:7168:7168,16:16:16:16,2:2:2:2,prefill_heavy,1024,128,128,1230.550968,3050.967868,79.474234,stock,80,8192,28672,64,8,128,70,128256,hetero_4x4_70b_full_20260609_122900
70b,TP4PP2_layer_skew+8_48-32,4,2,48-32,7168:7168:7168:7168,16:16:16:16,2:2:2:2,balanced,512,256,128,1446.544655,2795.046966,77.408145,stock,80,8192,28672,64,8,128,70,128256,hetero_4x4_70b_full_20260609_122900
70b,TP4PP2_layer_skew+8_48-32,4,2,48-32,7168:7168:7168:7168,16:16:16:16,2:2:2:2,decode_heavy,128,512,128,1489.540138,3906.764859,78.227881,stock,80,8192,28672,64,8,128,70,128256,hetero_4x4_70b_full_20260609_122900
70b,TP4PP2_layer_skew+8_48-32,4,2,48-32,7168:7168:7168:7168,16:16:16:16,2:2:2:2,prefill_heavy,1024,128,128,1241.116328,2978.583106,79.122051,stock,80,8192,28672,64,8,128,70,128256,hetero_4x4_70b_full_20260609_122900
70b,TP4PP2_layer_uniform_40-40,4,2,40-40,7168:7168:7168:7168,16:16:16:16,2:2:2:2,balanced,512,256,128,1408.923914,2833.940911,79.627745,stock,80,8192,28672,64,8,128,70,128256,hetero_4x4_70b_full_20260609_122900
70b,TP4PP2_layer_uniform_40-40,4,2,40-40,7168:7168:7168:7168,16:16:16:16,2:2:2:2,decode_heavy,128,512,128,1487.730016,2589.316828,80.772755,stock,80,8192,28672,64,8,128,70,128256,hetero_4x4_70b_full_20260609_122900
70b,TP4PP2_layer_uniform_40-40,4,2,40-40,7168:7168:7168:7168,16:16:16:16,2:2:2:2,prefill_heavy,1024,128,128,1205.251387,3137.436541,81.11041,stock,80,8192,28672,64,8,128,70,128256,hetero_4x4_70b_full_20260609_122900
70b,TP8PP1_ffn_bias+25,8,1,80,4480:4480:4480:4480:2688:2688:2688:2688,8:8:8:8:8:8:8:8,1:1:1:1:1:1:1:1,balanced,512,256,128,1481.44415,1701.961856,78.311998,tp_only,80,8192,28672,64,8,128,70,128256,hetero_4x4_70b_full_20260609_122900
70b,TP8PP1_ffn_bias+25,8,1,80,4480:4480:4480:4480:2688:2688:2688:2688,8:8:8:8:8:8:8:8,1:1:1:1:1:1:1:1,decode_heavy,128,512,128,1502.674244,3058.704936,78.927666,tp_only,80,8192,28672,64,8,128,70,128256,hetero_4x4_70b_full_20260609_122900
70b,TP8PP1_ffn_bias+25,8,1,80,4480:4480:4480:4480:2688:2688:2688:2688,8:8:8:8:8:8:8:8,1:1:1:1:1:1:1:1,prefill_heavy,1024,128,128,1285.07337,2697.888892,78.340651,tp_only,80,8192,28672,64,8,128,70,128256,hetero_4x4_70b_full_20260609_122900
70b,TP8PP1_ffn_bias+50,8,1,80,5376:5376:5376:5376:1792:1792:1792:1792,8:8:8:8:8:8:8:8,1:1:1:1:1:1:1:1,balanced,512,256,128,1461.977707,2174.625108,78.89007,tp_only,80,8192,28672,64,8,128,70,128256,hetero_4x4_70b_full_20260609_122900
70b,TP8PP1_ffn_bias+50,8,1,80,5376:5376:5376:5376:1792:1792:1792:1792,8:8:8:8:8:8:8:8,1:1:1:1:1:1:1:1,decode_heavy,128,512,128,1531.799012,1884.601476,79.877955,tp_only,80,8192,28672,64,8,128,70,128256,hetero_4x4_70b_full_20260609_122900
70b,TP8PP1_ffn_bias+50,8,1,80,5376:5376:5376:5376:1792:1792:1792:1792,8:8:8:8:8:8:8:8,1:1:1:1:1:1:1:1,prefill_heavy,1024,128,128,1368.736015,1527.883312,80.482215,tp_only,80,8192,28672,64,8,128,70,128256,hetero_4x4_70b_full_20260609_122900
70b,TP8PP1_ffn_bias+75,8,1,80,6272:6272:6272:6272:896:896:896:896,8:8:8:8:8:8:8:8,1:1:1:1:1:1:1:1,balanced,512,256,128,1402.618963,2403.517302,81.536157,tp_only,80,8192,28672,64,8,128,70,128256,hetero_4x4_70b_full_20260609_122900
70b,TP8PP1_ffn_bias+75,8,1,80,6272:6272:6272:6272:896:896:896:896,8:8:8:8:8:8:8:8,1:1:1:1:1:1:1:1,decode_heavy,128,512,128,1473.852686,2052.110535,82.59876,tp_only,80,8192,28672,64,8,128,70,128256,hetero_4x4_70b_full_20260609_122900
70b,TP8PP1_ffn_bias+75,8,1,80,6272:6272:6272:6272:896:896:896:896,8:8:8:8:8:8:8:8,1:1:1:1:1:1:1:1,prefill_heavy,1024,128,128,1237.147478,2688.812502,82.342182,tp_only,80,8192,28672,64,8,128,70,128256,hetero_4x4_70b_full_20260609_122900
70b,TP8PP1_uniform,8,1,80,3584:3584:3584:3584:3584:3584:3584:3584,8:8:8:8:8:8:8:8,1:1:1:1:1:1:1:1,balanced,512,256,128,1393.618861,2135.949672,82.126936,tp_only,80,8192,28672,64,8,128,70,128256,hetero_4x4_70b_full_20260609_122900
70b,TP8PP1_uniform,8,1,80,3584:3584:3584:3584:3584:3584:3584:3584,8:8:8:8:8:8:8:8,1:1:1:1:1:1:1:1,decode_heavy,128,512,128,1468.450854,1680.996866,83.256043,tp_only,80,8192,28672,64,8,128,70,128256,hetero_4x4_70b_full_20260609_122900
70b,TP8PP1_uniform,8,1,80,3584:3584:3584:3584:3584:3584:3584:3584,8:8:8:8:8:8:8:8,1:1:1:1:1:1:1:1,prefill_heavy,1024,128,128,1154.692228,3356.213092,82.771028,tp_only,80,8192,28672,64,8,128,70,128256,hetero_4x4_70b_full_20260609_122900
8b,TP1PP8_layer_blackbias_5-5-5-5-3-3-3-3,1,8,5-5-5-5-3-3-3-3,14336,32,8,balanced,512,256,128,1099.301325,9966.463897,77.964467,overlap,32,4096,14336,32,8,128,8,128256,hetero_4x4_8b_full_20260609_194231
8b,TP1PP8_layer_blackbias_5-5-5-5-3-3-3-3,1,8,5-5-5-5-3-3-3-3,14336,32,8,decode_heavy,128,512,128,1395.947133,8628.578569,75.319159,overlap,32,4096,14336,32,8,128,8,128256,hetero_4x4_8b_full_20260609_194231
8b,TP1PP8_layer_blackbias_5-5-5-5-3-3-3-3,1,8,5-5-5-5-3-3-3-3,14336,32,8,prefill_heavy,1024,128,128,862.200288,8037.289076,85.313557,overlap,32,4096,14336,32,8,128,8,128256,hetero_4x4_8b_full_20260609_194231
8b,TP1PP8_layer_blackbias_6-6-6-6-2-2-2-2,1,8,6-6-6-6-2-2-2-2,14336,32,8,balanced,512,256,128,1131.201974,8872.15811,78.126132,overlap,32,4096,14336,32,8,128,8,128256,hetero_4x4_8b_full_20260609_194231
8b,TP1PP8_layer_blackbias_6-6-6-6-2-2-2-2,1,8,6-6-6-6-2-2-2-2,14336,32,8,decode_heavy,128,512,128,1363.165257,8659.161979,77.141061,overlap,32,4096,14336,32,8,128,8,128256,hetero_4x4_8b_full_20260609_194231
8b,TP1PP8_layer_blackbias_6-6-6-6-2-2-2-2,1,8,6-6-6-6-2-2-2-2,14336,32,8,prefill_heavy,1024,128,128,788.4709,9795.268811,85.574518,overlap,32,4096,14336,32,8,128,8,128256,hetero_4x4_8b_full_20260609_194231
8b,TP1PP8_layer_uniform_4x8,1,8,4-4-4-4-4-4-4-4,14336,32,8,balanced,512,256,128,1107.085058,10061.474725,77.010386,overlap,32,4096,14336,32,8,128,8,128256,hetero_4x4_8b_full_20260609_194231
8b,TP1PP8_layer_uniform_4x8,1,8,4-4-4-4-4-4-4-4,14336,32,8,decode_heavy,128,512,128,1529.543001,9793.814918,64.737276,overlap,32,4096,14336,32,8,128,8,128256,hetero_4x4_8b_full_20260609_194231
8b,TP1PP8_layer_uniform_4x8,1,8,4-4-4-4-4-4-4-4,14336,32,8,prefill_heavy,1024,128,128,763.885174,10034.32124,88.76383,overlap,32,4096,14336,32,8,128,8,128256,hetero_4x4_8b_full_20260609_194231
8b,TP2PP4_layer_blackbias_10-10-6-6,2,4,10-10-6-6,7168:7168,16:16,4:4,balanced,512,256,128,1747.892453,4984.267561,54.168834,overlap,32,4096,14336,32,8,128,8,128256,hetero_4x4_8b_full_20260609_194231
