layout,model,tp,pp,label,layer_split,ffn_splits,workload,n_req,in_len,out_len,tps,itl_ms,ttft_ms
2+2,mixtral8x7b,4,1,TP4PP1_uniform,32,3584:3584:3584:3584,balanced,16,512,256,518.5,26.1,1179.9
2+2,mixtral8x7b,4,1,TP4PP1_ffn_bias+50,32,5376:5376:1792:1792,balanced,16,512,256,467.7,29.5,1172.3
2+2,mixtral8x7b,2,2,TP2PP2_skew+8,24-8,7168:7168,balanced,16,512,256,450.3,30.6,1263.3
2+2,mixtral8x7b,2,2,TP2PP2_uniform,16-16,7168:7168,balanced,16,512,256,318.4,40.4,2537.4
2+2,mixtral8x7b,1,4,TP1PP4_uniform,8-8-8-8,14336,balanced,16,512,256,170.0,80.2,3631.1
2+2,mixtral8x7b,4,1,TP4PP1_uniform,32,3584:3584:3584:3584,balanced,32,512,256,850.2,36.3,302.4
2+2,mixtral8x7b,4,1,TP4PP1_ffn_bias+50,32,5376:5376:1792:1792,balanced,32,512,256,837.1,36.9,303.0
2+2,mixtral8x7b,2,2,TP2PP2_skew+8,24-8,7168:7168,balanced,32,512,256,711.0,44.1,222.8
2+2,mixtral8x7b,2,2,TP2PP2_uniform,16-16,7168:7168,balanced,32,512,256,702.2,45.0,158.1
2+2,mixtral8x7b,1,4,TP1PP4_uniform,8-8-8-8,14336,balanced,32,512,256,506.9,61.7,397.1
2+2,mixtral8x7b,2,2,TP2PP2_uniform,16-16,7168:7168,balanced,64,512,256,1414.7,44.1,289.3
2+2,mixtral8x7b,2,2,TP2PP2_skew+8,24-8,7168:7168,balanced,64,512,256,1308.8,46.5,469.3
2+2,mixtral8x7b,4,1,TP4PP1_uniform,32,3584:3584:3584:3584,balanced,64,512,256,1197.3,51.0,426.4
2+2,mixtral8x7b,4,1,TP4PP1_ffn_bias+50,32,5376:5376:1792:1792,balanced,64,512,256,1195.0,51.2,485.2
2+2,mixtral8x7b,1,4,TP1PP4_uniform,8-8-8-8,14336,balanced,64,512,256,890.2,70.8,280.0
2+2,mixtral8x7b,2,2,TP2PP2_uniform,16-16,7168:7168,balanced,96,512,256,1777.1,52.9,239.7
2+2,mixtral8x7b,2,2,TP2PP2_skew+8,24-8,7168:7168,balanced,96,512,256,1751.1,51.2,652.3
2+2,mixtral8x7b,1,4,TP1PP4_uniform,8-8-8-8,14336,balanced,96,512,256,1402.5,67.2,259.7
2+2,mixtral8x7b,4,1,TP4PP1_uniform,32,3584:3584:3584:3584,balanced,96,512,256,1381.8,65.9,578.3
2+2,mixtral8x7b,4,1,TP4PP1_ffn_bias+50,32,5376:5376:1792:1792,balanced,96,512,256,1340.1,68.0,576.7
2+2,opt30b,4,1,TP4PP1_uniform,48,7168:7168:7168:7168,balanced,16,512,256,460.1,32.4,626.3
2+2,opt30b,4,1,TP4PP1_ffn_bias+50,48,10752:10752:3584:3584,balanced,16,512,256,430.7,32.4,1212.2
2+2,opt30b,2,2,TP2PP2_skew+8,32-16,14336:14336,balanced,16,512,256,402.0,36.6,824.4
2+2,opt30b,2,2,TP2PP2_uniform,24-24,14336:14336,balanced,16,512,256,322.0,45.7,1007.2
2+2,opt30b,1,4,TP1PP4_skew+8,20-20-4-4,28672,balanced,16,512,256,244.6,57.6,2021.2
2+2,opt30b,1,4,TP1PP4_uniform,12-12-12-12,28672,balanced,16,512,256,197.8,74.7,1591.9
2+2,opt30b,2,2,TP2PP2_skew+8,32-16,14336:14336,balanced,32,512,256,780.6,40.4,113.4
2+2,opt30b,2,2,TP2PP2_uniform,24-24,14336:14336,balanced,32,512,256,704.8,44.3,198.9
2+2,opt30b,4,1,TP4PP1_uniform,48,7168:7168:7168:7168,balanced,32,512,256,615.7,50.8,290.1
2+2,opt30b,4,1,TP4PP1_ffn_bias+50,48,10752:10752:3584:3584,balanced,32,512,256,614.5,50.8,310.0
2+2,opt30b,1,4,TP1PP4_skew+8,20-20-4-4,28672,balanced,32,512,256,513.7,60.8,354.3
2+2,opt30b,1,4,TP1PP4_uniform,12-12-12-12,28672,balanced,32,512,256,437.8,71.9,272.6
2+2,opt30b,2,2,TP2PP2_skew+8,32-16,14336:14336,balanced,64,512,256,1341.7,47.0,109.0
2+2,opt30b,2,2,TP2PP2_uniform,24-24,14336:14336,balanced,64,512,256,1183.6,49.9,323.3
2+2,opt30b,1,4,TP1PP4_skew+8,20-20-4-4,28672,balanced,64,512,256,956.3,62.4,1119.7
2+2,opt30b,1,4,TP1PP4_uniform,12-12-12-12,28672,balanced,64,512,256,775.3,80.1,444.2
2+2,opt30b,4,1,TP4PP1_ffn_bias+50,48,10752:10752:3584:3584,balanced,64,512,256,716.2,87.2,474.7
2+2,opt30b,4,1,TP4PP1_uniform,48,7168:7168:7168:7168,balanced,64,512,256,712.5,87.6,458.4
2+2,opt30b,2,2,TP2PP2_skew+8,32-16,14336:14336,balanced,96,512,256,2033.5,45.9,179.0
2+2,opt30b,4,1,TP4PP1_ffn_bias+50,48,10752:10752:3584:3584,balanced,96,512,256,1848.7,49.8,419.1
2+2,opt30b,4,1,TP4PP1_uniform,48,7168:7168:7168:7168,balanced,96,512,256,1807.7,49.7,654.0
2+2,opt30b,2,2,TP2PP2_uniform,24-24,14336:14336,balanced,96,512,256,1762.9,51.0,557.9
2+2,opt30b,1,4,TP1PP4_skew+8,20-20-4-4,28672,balanced,96,512,256,1121.1,82.3,586.7
2+2,opt30b,1,4,TP1PP4_uniform,12-12-12-12,28672,balanced,96,512,256,1117.0,82.5,592.0
4+4,70b,4,2,TP4PP2_skew+12,52-28,7168:7168:7168:7168,balanced,16,512,256,332.1,44.6,931.5
4+4,70b,4,2,TP4PP2_skew+8,48-32,7168:7168:7168:7168,balanced,16,512,256,326.0,45.5,956.6
4+4,70b,8,1,TP8PP1_uniform,80,3584:3584:3584:3584:3584:3584:3584:3584,balanced,16,512,256,261.9,57.9,849.4
4+4,70b,4,2,TP4PP2_uniform,40-40,7168:7168:7168:7168,balanced,16,512,256,245.7,56.5,2249.3
4+4,70b,8,1,TP8PP1_ffn_bias+50,80,5376:5376:5376:5376:1792:1792:1792:1792,balanced,16,512,256,229.6,62.3,1911.7
4+4,70b,2,4,TP2PP4_skew+12,32-32-8-8,14336:14336,balanced,16,512,256,201.7,67.4,3109.4
4+4,70b,2,4,TP2PP4_skew+8,28-28-12-12,14336:14336,balanced,16,512,256,196.9,69.5,3057.4
4+4,70b,2,4,TP2PP4_uniform,20-20-20-20,14336:14336,balanced,16,512,256,182.3,76.1,3036.9
4+4,70b,1,8,TP1PP8_skew+8,18-18-18-18-2-2-2-2,28672,balanced,16,512,256,101.5,129.0,7411.1
4+4,70b,1,8,TP1PP8_uniform,10-10-10-10-10-10-10-10,28672,balanced,16,512,256,92.5,160.7,3282.9
4+4,70b,4,2,TP4PP2_skew+12,52-28,7168:7168:7168:7168,balanced,32,512,256,573.6,55.3,152.4
4+4,70b,4,2,TP4PP2_skew+8,48-32,7168:7168:7168:7168,balanced,32,512,256,560.3,54.2,151.2
4+4,70b,4,2,TP4PP2_uniform,40-40,7168:7168:7168:7168,balanced,32,512,256,526.3,60.2,164.0
4+4,70b,2,4,TP2PP4_skew+12,32-32-8-8,14336:14336,balanced,32,512,256,450.7,70.1,258.9
4+4,70b,2,4,TP2PP4_skew+8,28-28-12-12,14336:14336,balanced,32,512,256,426.2,74.2,271.1
4+4,70b,2,4,TP2PP4_uniform,20-20-20-20,14336:14336,balanced,32,512,256,384.9,82.2,284.3
4+4,70b,8,1,TP8PP1_uniform,80,3584:3584:3584:3584:3584:3584:3584:3584,balanced,32,512,256,360.6,86.3,656.9
4+4,70b,8,1,TP8PP1_ffn_bias+50,80,5376:5376:5376:5376:1792:1792:1792:1792,balanced,32,512,256,346.4,91.7,231.4
4+4,70b,1,8,TP1PP8_skew+8,18-18-18-18-2-2-2-2,28672,balanced,32,512,256,291.5,109.0,249.8
4+4,70b,1,8,TP1PP8_uniform,10-10-10-10-10-10-10-10,28672,balanced,32,512,256,226.5,139.7,505.3
4+4,70b,4,2,TP4PP2_skew+12,52-28,7168:7168:7168:7168,balanced,64,512,256,1046.2,60.2,230.5
4+4,70b,4,2,TP4PP2_skew+8,48-32,7168:7168:7168:7168,balanced,64,512,256,1009.1,62.5,219.9
4+4,70b,4,2,TP4PP2_uniform,40-40,7168:7168:7168:7168,balanced,64,512,256,936.0,67.5,210.2
4+4,70b,2,4,TP2PP4_skew+12,32-32-8-8,14336:14336,balanced,64,512,256,916.7,69.1,187.7
4+4,70b,2,4,TP2PP4_skew+8,28-28-12-12,14336:14336,balanced,64,512,256,826.6,74.0,866.8
4+4,70b,2,4,TP2PP4_uniform,20-20-20-20,14336:14336,balanced,64,512,256,782.5,81.0,224.7
4+4,70b,1,8,TP1PP8_skew+8,18-18-18-18-2-2-2-2,28672,balanced,64,512,256,480.6,132.2,283.1
4+4,70b,1,8,TP1PP8_uniform,10-10-10-10-10-10-10-10,28672,balanced,64,512,256,394.2,161.2,348.2
4+4,70b,8,1,TP8PP1_uniform,80,3584:3584:3584:3584:3584:3584:3584:3584,balanced,64,512,256,394.1,160.8,432.0
4+4,70b,8,1,TP8PP1_ffn_bias+50,80,5376:5376:5376:5376:1792:1792:1792:1792,balanced,64,512,256,377.8,168.5,304.9
4+4,70b,4,2,TP4PP2_skew+8,48-32,7168:7168:7168:7168,balanced,96,512,256,1514.2,62.2,250.0
4+4,70b,4,2,TP4PP2_skew+12,52-28,7168:7168:7168:7168,balanced,96,512,256,1457.2,64.5,316.8
4+4,70b,4,2,TP4PP2_uniform,40-40,7168:7168:7168:7168,balanced,96,512,256,1369.3,68.6,318.1
4+4,70b,2,4,TP2PP4_skew+8,28-28-12-12,14336:14336,balanced,96,512,256,1197.2,79.0,247.6
4+4,70b,2,4,TP2PP4_skew+12,32-32-8-8,14336:14336,balanced,96,512,256,1049.5,90.1,287.9
4+4,70b,2,4,TP2PP4_uniform,20-20-20-20,14336:14336,balanced,96,512,256,964.1,98.1,342.4
4+4,70b,1,8,TP1PP8_skew+8,18-18-18-18-2-2-2-2,28672,balanced,96,512,256,554.2,171.9,356.8
4+4,70b,1,8,TP1PP8_uniform,10-10-10-10-10-10-10-10,28672,balanced,96,512,256,521.5,182.5,380.4
4+4,70b,8,1,TP8PP1_uniform,80,3584:3584:3584:3584:3584:3584:3584:3584,balanced,96,512,256,400.5,238.4,325.1
4+4,70b,8,1,TP8PP1_ffn_bias+50,80,5376:5376:5376:5376:1792:1792:1792:1792,balanced,96,512,256,383.3,249.1,385.3
4+4,70b,4,2,TP4PP2_skew+8,48-32,7168:7168:7168:7168,decode_heavy,16,128,512,333.3,45.5,1429.5
4+4,70b,4,2,TP4PP2_uniform,40-40,7168:7168:7168:7168,decode_heavy,16,128,512,313.1,48.6,1451.2
4+4,70b,4,2,TP4PP2_skew+12,52-28,7168:7168:7168:7168,decode_heavy,16,128,512,305.1,47.4,2744.2
4+4,70b,8,1,TP8PP1_uniform,80,3584:3584:3584:3584:3584:3584:3584:3584,decode_heavy,16,128,512,273.1,57.2,784.3
4+4,70b,8,1,TP8PP1_ffn_bias+50,80,5376:5376:5376:5376:1792:1792:1792:1792,decode_heavy,16,128,512,255.9,61.2,732.0
4+4,70b,2,4,TP2PP4_skew+12,32-32-8-8,14336:14336,decode_heavy,16,128,512,203.8,71.3,3971.3
4+4,70b,2,4,TP2PP4_skew+8,28-28-12-12,14336:14336,decode_heavy,16,128,512,196.1,74.4,3952.3
4+4,70b,2,4,TP2PP4_uniform,20-20-20-20,14336:14336,decode_heavy,16,128,512,191.4,76.7,3808.8
4+4,70b,1,8,TP1PP8_skew+8,18-18-18-18-2-2-2-2,28672,decode_heavy,16,128,512,120.5,117.1,8462.3
4+4,70b,1,8,TP1PP8_uniform,10-10-10-10-10-10-10-10,28672,decode_heavy,16,128,512,107.2,137.9,6317.8
4+4,70b,4,2,TP4PP2_skew+12,52-28,7168:7168:7168:7168,decode_heavy,32,128,512,597.2,53.5,250.6
4+4,70b,4,2,TP4PP2_skew+8,48-32,7168:7168:7168:7168,decode_heavy,32,128,512,572.1,55.8,282.0
4+4,70b,4,2,TP4PP2_uniform,40-40,7168:7168:7168:7168,decode_heavy,32,128,512,557.3,56.4,252.3
4+4,70b,2,4,TP2PP4_skew+12,32-32-8-8,14336:14336,decode_heavy,32,128,512,457.7,70.0,208.2
4+4,70b,2,4,TP2PP4_skew+8,28-28-12-12,14336:14336,decode_heavy,32,128,512,434.4,73.7,243.1
4+4,70b,2,4,TP2PP4_uniform,20-20-20-20,14336:14336,decode_heavy,32,128,512,391.2,81.8,291.4
